Trialname,learning_rate,num_leaves,num_iterations,acc,total,time
0,0.0982866,45,140,0.872872,15.0551,
1,0.0957779,32,57,0.851149,5.29166,
2,0.059343,55,141,0.868086,18.4156,
3,0.133241,56,142,0.884923,18.2543,
4,0.0614341,43,70,0.852436,8.05491,
5,0.1027,38,99,0.864105,9.60298,
6,0.064771,65,84,0.86324,13.4263,
7,0.065108,38,98,0.855914,9.81103,
8,0.126239,55,140,0.882859,17.7712,
9,0.081447,79,83,0.871712,15.5784,
10,0.0756115,43,52,0.851531,6.10044,
11,0.0927008,45,110,0.867423,12.1521,
12,0.0892666,61,133,0.877537,18.9994,
13,0.0660245,36,101,0.856303,9.58188,
14,0.139103,68,58,0.872161,9.47731,
15,0.113533,65,105,0.878448,15.8602,
16,0.0726811,41,117,0.862342,12.1786,
17,0.0993357,50,75,0.863964,9.43132,
18,0.0704364,73,60,0.861163,10.6592,
19,0.0616657,41,69,0.851497,7.61482,
20,0.142229,57,59,0.868301,8.35381,
21,0.0832014,71,119,0.877262,19.6428,
22,0.0591647,67,121,0.869293,19.1673,
23,0.05714,42,83,0.853361,9.27789,
24,0.13255,46,67,0.865191,7.90955,
25,0.12324,52,144,0.881532,13.2668,
26,0.14057,46,120,0.877751,9.8395,
