Trial_no,learning_rate,num_leaves,num_iterations,acc, time(s)
0,0.147468,65,92,0.960418,3.23621
1,0.0544796,72,77,0.961853,2.72737
2,0.0528282,65,143,0.960421,4.85414
3,0.138228,49,115,0.959462,3.9522
4,0.099046,78,66,0.963285,2.62464
5,0.115293,50,80,0.963282,2.93527
6,0.0856768,33,126,0.961377,4.6604
7,0.108357,55,115,0.961377,4.15901
8,0.134843,43,100,0.960421,3.47277
9,0.0545953,51,98,0.96186,3.38622
10,0.132496,40,54,0.96186,2.03216
11,0.0647611,48,70,0.962336,2.54561
12,0.0897485,64,112,0.959466,4.14152
13,0.149513,59,91,0.96137,3.4733
14,0.146929,44,57,0.963282,2.31333
15,0.0955511,50,140,0.961847,4.59034
16,0.0795626,55,141,0.962326,5.14405
17,0.0826492,38,117,0.960425,4.53594
18,0.09538,40,104,0.960418,4.08435
19,0.0939192,41,61,0.962333,2.27722
20,0.100982,34,58,0.962809,2.25006
21,0.0512852,45,72,0.959472,2.29912
22,0.110578,76,131,0.959942,4.70916
23,0.0904289,78,92,0.964238,3.27423
24,0.0739749,32,125,0.960421,4.5533
25,0.11154,40,119,0.961367,4.02456
26,0.093563,42,83,0.962806,3.1049
