Trial_no,learning_rate,num_leaves,num_iterations,acc,time,f1_score
0,0.109927,40,79,0.780743,18.7867,0.771629
1,0.10378,37,99,0.780215,22.0255,0.770684
2,0.133757,39,81,0.776751,18.7311,0.767009
3,0.0565284,72,81,0.7769,33.2394,0.765955
4,0.144697,32,104,0.777127,20.3803,0.767317
5,0.12275,45,78,0.777279,20.8568,0.767264
6,0.110159,32,53,0.782174,10.5186,0.773079
7,0.091429,60,116,0.777353,40.516,0.767256
8,0.0929424,55,72,0.778859,23.3089,0.769349
9,0.0826111,36,73,0.779463,16.1477,0.76992
10,0.11536,44,69,0.78112,18.2503,0.772241
11,0.140307,72,131,0.776298,48.4624,0.766119
12,0.0799575,56,147,0.775319,39.6574,0.764905
13,0.135591,56,145,0.772607,47.0951,0.762589
14,0.135771,62,118,0.775996,42.9184,0.76619
15,0.140568,40,118,0.773059,28.1047,0.763545
16,0.0896447,33,72,0.7821,14.5725,0.772879
17,0.126144,74,130,0.775921,55.3114,0.765653
18,0.0667572,59,93,0.77788,31.9186,0.767757
19,0.118638,47,98,0.778483,27.3939,0.769043
20,0.0540391,48,68,0.777277,19.4447,0.76623
21,0.0803088,64,96,0.776749,35.7777,0.766446
22,0.139903,79,138,0.776977,61.2806,0.767102
23,0.0785626,47,83,0.778785,23.3826,0.768839
24,0.0845953,31,130,0.781271,24.6423,0.771842
25,0.0943247,75,66,0.774038,27.6134,0.76323
26,0.142004,60,100,0.776072,17.0714,0.76608
