F1,Recall,Precision,Accuracy,AUC-ROC
0.9117074402486409,0.9131905298759865,0.9121888929685095,0.9131905298759865,0.9866575578963811
0.908041885348657,0.9098083427282976,0.9078477309280596,0.9098083427282976,0.9879190080449147
0.9163195439242424,0.9188275084554679,0.918305833518467,0.9188275084554679,0.9877876163215781
0.9389366234271037,0.9402480270574972,0.9397493975912107,0.9402480270574972,0.9930957964035945
0.9217071357274202,0.923337091319053,0.9223878872970804,0.923337091319053,0.9919195496440492
0.9167539195633523,0.9177001127395716,0.9166682982393662,0.9177001127395716,0.9882352499405437
0.9292316450690926,0.9312288613303269,0.9304952649549645,0.9312288613303269,0.9915457794066653
0.9099721551460648,0.9120631341600902,0.9101407872323268,0.9120631341600902,0.9876352719490207
0.911104839484482,0.9120631341600902,0.9114882281509724,0.9120631341600902,0.9872125537646458
0.9177006741237026,0.9199549041713642,0.9178100602349858,0.9199549041713642,0.9919356622031361
0.9143134040076837,0.915445321307779,0.9141666092360565,0.915445321307779,0.9906011218803722
0.9227977016465895,0.9244644870349493,0.9226215834333303,0.9244644870349493,0.9922090947762641
0.927660601045999,0.9278466741826381,0.9277894818149489,0.9278466741826381,0.9928052595909026
0.9084658606240971,0.910935738444194,0.9079117005394843,0.910935738444194,0.984760718690057
0.8974751278838774,0.9007891770011274,0.8980416974806982,0.9007891770011274,0.984425138613649
