number,value,params,state
0,0.9889103628793873,"{'num_leaves': 78, 'n_estimators': 53, 'learning_rate': 0.1411211393647911}",1
1,0.9890993183862061,"{'num_leaves': 62, 'n_estimators': 147, 'learning_rate': 0.10559769381091692}",1
2,0.9889236690259415,"{'num_leaves': 62, 'n_estimators': 99, 'learning_rate': 0.1408299385328382}",1
3,0.9889534504573102,"{'num_leaves': 77, 'n_estimators': 139, 'learning_rate': 0.08895606591866337}",1
4,0.9885606698914822,"{'num_leaves': 75, 'n_estimators': 62, 'learning_rate': 0.08742449822207132}",1
5,0.988884931366494,"{'num_leaves': 67, 'n_estimators': 97, 'learning_rate': 0.12758235098619358}",1
6,0.9890516680882616,"{'num_leaves': 73, 'n_estimators': 80, 'learning_rate': 0.0976532267075986}",1
7,0.9888768894477198,"{'num_leaves': 53, 'n_estimators': 62, 'learning_rate': 0.104251446309556}",1
8,0.9890383904324808,"{'num_leaves': 76, 'n_estimators': 112, 'learning_rate': 0.10007830622053908}",1
9,0.9889688195648751,"{'num_leaves': 66, 'n_estimators': 100, 'learning_rate': 0.13155725845726984}",1
10,0.9889964953559691,"{'num_leaves': 40, 'n_estimators': 145, 'learning_rate': 0.051813349213521126}",1
11,0.9891573410899147,"{'num_leaves': 53, 'n_estimators': 78, 'learning_rate': 0.11439968042733135}",1
12,0.9889749598613451,"{'num_leaves': 50, 'n_estimators': 125, 'learning_rate': 0.1156868531898369}",1
13,0.988969522687224,"{'num_leaves': 44, 'n_estimators': 84, 'learning_rate': 0.07188043931702268}",1
14,0.9889152633074653,"{'num_leaves': 59, 'n_estimators': 123, 'learning_rate': 0.11318767146639759}",1
15,0.9890984807883634,"{'num_leaves': 34, 'n_estimators': 81, 'learning_rate': 0.11759920743380059}",1
16,0.9889346236106675,"{'num_leaves': 49, 'n_estimators': 133, 'learning_rate': 0.07176280390457646}",1
17,0.9889367412974469,"{'num_leaves': 59, 'n_estimators': 150, 'learning_rate': 0.08318938380969786}",1
18,0.9889124062182277,"{'num_leaves': 69, 'n_estimators': 111, 'learning_rate': 0.1497970450968359}",1
19,0.9887458649805682,"{'num_leaves': 56, 'n_estimators': 69, 'learning_rate': 0.1275116903186814}",1
20,0.9890262275733651,"{'num_leaves': 43, 'n_estimators': 90, 'learning_rate': 0.1067817261662658}",1
21,0.9892148516382449,"{'num_leaves': 31, 'n_estimators': 76, 'learning_rate': 0.11807605439840774}",1
22,0.9890923469544217,"{'num_leaves': 33, 'n_estimators': 71, 'learning_rate': 0.1214363297979254}",1
23,0.9890520525311604,"{'num_leaves': 31, 'n_estimators': 73, 'learning_rate': 0.11040882855857057}",1
24,0.9891476308186203,"{'num_leaves': 38, 'n_estimators': 91, 'learning_rate': 0.09582195316466578}",1
25,0.9892496919417183,"{'num_leaves': 38, 'n_estimators': 89, 'learning_rate': 0.09455125945422785}",1
26,0.9884339441792312,"{'num_leaves': 36, 'n_estimators': 53, 'learning_rate': 0.07354796751468887}",1
